უჟეჟთაეს-	höchster
სნეულება	krank sein
დასნეულება	erkranken
დაზულება	auflösen, zerrütten, zerstören
გარდმოქართულება	ins Georgische übersetzen
სთულება	pflücken
შთასთულება	hineinpflücken
მომსთულება	pflücken; pflücken
მოსთულება	pflücken
შემწიკულება	beschmutzen, unrein machen, schänden
შემწინკულება	beschmutzen, unrein machen, schänden; beschmutzen, unrein machen, schänden
კრძალულება	sich hüten, sich in acht nehmen
დანაკლულება	vermindern, verringern
დაწყლულება	vereitern
დამამულება	erben
განმხიარულება	erfreuen, sich freuen
მირულება	einschlafen, einschlummern
გასრულება	beenden, vollenden
დასრულება	beenden, vollenden, enden, sterben
შესრულება	vollenden, beenden, vervollkommnen
მისრულება	vollenden
განსრულება	beenden, volljährig werden
მოსრულება	ausrotten, vernichten, vollenden
გამოსრულება	vollenden
შთამოსრულება	herabkommen
წამოსრულება	beenden, vollenden
წარმოსრულება	beenden, vollenden
წარსრულება	beenden, vollenden
აღსრულება	beenden, vollenden, erfüllen, vollbringen, machen; sterben, töten
დასულება	sich wundern, staunen, verblüfft sein, sich entsetzen
შესულება	sich fürchten, sich wundern, verblüfft sein
რწყულება	zu trinken geben, tränken
განშიშულება	entblößen, entblößt werden
ძულება	hassen
იძულება	nötigen, zwingen, belästigen
მოძულება	hassen
აღძულება	zwingen, nötigen
ქალწულება	nicht verheiratet sein, ledig sein
გარდაქალწულება	entjungfern, Unschuld verlieren
უფლება	herrschen, können, gestatten
დაუფლება	in Besitz nehmen
თავისუფლება	befreien
გათავისუფლება	befreien
განთავისუფლება	befreien
გამოთავისუფლება	befreien
ამაღლება	erhöhen, (sich) erheben, hinaufsteigen, stolz machen; erhöhen, (sich) erheben, hinaufsteigen, stolz machen
მომაღლება	emporheben, hochziehen, sich heben
აღმაღლება	erhöhen, (sich) erheben, hinaufsteigen, stolz machen
დაუღლება	ins Joch spannen
გარდაუღლება	entfernen
შეუღლება	verbinden, verknüpfen
დაბაყლება	beschmutzen, schmutzig werden
ძლება	können, vermögen
შეძლება	können, taugen
დამჭლება	abmagern
დაკოჭლება	hinken
დაახლება	nähern, sich nähern
შეახლება	sich nähern
მიახლება	sich nähern
განახლება	erneuern
მოახლება	sich nähern
შემოახლება	sich nähern
განცოცხლება	heilen, beleben, gesunden, wieder aufleben
აღმოჯეჯლება	heraufkommen, emporwachsen
დაწრჳლება	dünn machen, verkleinern, zerstückeln; dünn machen, verkleinern,
დაბრყჳლება	erschlaffen, stumpf werden
შებრყჳლება	verführen, verleiten, fehlgehen, irren
მობრყჳლება	stumpf werden
შებრძჳლება	heilen; verbinden
მოქრთამება	bestechen
კამკამება	glänzen, blitzen
ჟამება	erlauben, um Erlaubnis bitten
დაღამება	dunkeln, finster werden
შეღამება	Nacht werden
წამება	bezeugen, hinweisen; foltern, martern, quälen
დაწამება	verleumden, beschuldigen
თანაწამება	einverstanden sein, bestätigen
შეწამება	anschuldigen, anklagen, bezeugen, vergleichen, überprüfen
მიწამება	bezeugen, bestätigen
წამწამება	hinweisen, zu wissen geben
განწამება	ausliefern
ჭამება	füttern, zu essen geben
შეჭამება	aufessen lassen, verzehren lassen
ჰამება	angenehm sein, angenehm machen
დაჰამება	angenehm werden
ჩემება	sich aneignen, übereignen
მიჩემება	sich aneignen
განჩემება	übereignen, sich aneignen
გამოჩემება	sich aneignen
დამრწემება	erniedrigen
განღიმება	lächeln
მძიმება	belästigen, belästigt werden, kränken, gekränkt werden
დამძიმება	beschweren, erschweren, schwer / beschwert / belastet werden
მტკმება	öffnen
შრომება	arbeiten lassen, belästigen, ermüden
მოშრომება	herbemühen
განცხრომება	verspotten, auslachen
დუმება	verstummen lassen, zum Schweigen bringen
დადუმება	verstummen, schweigen, verstummen lassen
დაყურჭუმება	tauchen
მოსაქმება	bereiten, machen
უქმება	untätig sein
დაყმება	hungern
მოყმება	hungern, hungern lassen, verhungern, verhungern lassen
დახაშმება	erkranken
მოწმება	bezeugen, bestätigen
შემოწმება	vergleichen, überprüfen
წჳმება	regnen lassen
მოწჳმება	zu regnen beginnen
გამოწჳმება	zu regnen beginnen
ნება	wollen, wünschen
ტრბანება	rollen, zerren
ვანება	haltmachen, stehenbleiben
დავანება	sich ansiedeln, sich niederlassen
ამპარტავანება	hochmütig / stolz sein
გვანება	ähneln
შეგვანება	entsprechen, angemessen sein
ნაკლულევანება	fehlen, mangeln, in Not sein
ყვანება	wegbringen, fortbringen, weggehen
გაყვანება	hinausführen, wegführen, weglassen; hinausführen, wegführen, weglassen
გარეგაყვანება	hinausführen
მიმოდაყვანება	führen
გარდაყვანება	hinüberbringen, hinüberführen
შთაყვანება	hinabführen, hinabbringen
თანაყვანება	hinführen, hinbringen
შეყვანება	hineinführen, hineinbringen
მიყვანება	hinführen, wegführen, hinbringen, mitnehmen, heiraten
განყვანება	hinausführen, wegführen, weglassen
უკუნყვანება	zurückholen, zurückschicken
მოყვანება	herbeiholen, herführen, mitnehmen
ამოყვანება	heraufführen, heraufbringen, herausbringen
გამოყვანება	herausnehmen, herausführen
წინაგამოყვანება	herausführen
