			აბულაძე
არქელაოს	NOUN	არქელაოს-	
მეფობს	VERB	მეფ	მეფობა
ჰურიასტანს	NOUN	ჰურიასტან-	
ჰეროდეს	NOUN	ჰეროდე	
წილ,	PRT	წილ	
მამისა	NOUN	მამა	
თჳსისა,	PRON	თჳს-	
შეეშინა	VERB	შინ	შეშინება
მისლვად	NOUN	მისლვა	
მუნ	ADV	მუნ	
და	CONJ	და	
ბრძანებაჲ	NOUN	ბრძანება	
მოიღო	VERB	ღ	მოღება
ჩუენებით	NOUN	ჩუენება	
და	CONJ	და	
წარვიდა	VERB	ვიდ	წარსლვა
კერძოთა	NOUN	კერძო	
გალილეაჲსათა.	NOUN	გალილეა	
Mt.2-23		Mt.2-23	
და	CONJ	და	
მივიდა	VERB	ვიდ	მისლვა
და	CONJ	და	
დაეშენა	VERB	შენ	დაშენება
ქალაქსა	NOUN	ქალაქ-	
შინა,	PRT	შინა,	
რომელსა	PRON	რომელ-	
ჰრქჳან	VERB	რქუ	რქუმა
ნაზარეთ,	NOUN	ნაზარეთ-	
რაჲთა	CONJ	რაჲთა	
აღესრულოს	VERB	სრულ	აღსრულება
თქუმული	NOUN	თქუმულ-	
იგი	PRON	იგი	
წინაწარმეტყუელისა	NOUN	წინაწარმეტყუელ-	
მიერ,	PRT	მიერ,	
ვითარმედ:	CONJ	ვითარმედ:	
ნაზარეველ	NOUN	ნაზარეველ-	
ეწოდოს.	VERB	წოდ	წოდება
Mt.3-1		Mt.3-1	
მათ	PRON	მათ	
დღეთა	NOUN	დღე	
შინა	PRT	შინა	
მოვიდა	VERB	ვიდ	მოსლვა
იოვანე	NOUN	იოვანე	
ნათლისმცემელი,	NOUN	ნათლისმცემელ-	
ქადაგებად	NOUN	ქადაგება	
უდაბნოსა	NOUN	უდაბნო	
მას	PRON	იგი	
ჰურიასტანისასა	NOUN	ჰურიასტან-	
Mt.3-2		Mt.3-2	
და	CONJ	და	
იტყოდა:	VERB	ტყუ	სიტყუა
შეინანეთ,	VERB	ნან	შენანება
რამეთუ	CONJ	რამეთუ	
მოახლებულ	NOUN	მოახლებულ-	
არს	VERB	არ-ს	ყოფა
სასუფეველი	NOUN	სასუფეველ-	
ცათაჲ.	NOUN	ცა	
Mt.3-3		Mt.3-3	
რამეთუ	CONJ	რამეთუ	
ესე	PRON	ესე	
არს,	VERB	არ-ს	ყოფა
რომელ-იგი	PRON	რომელ-იგი	
თქუმულ	NOUN	თქუმულ-	
არს	VERB	არ-ს	ყოფა
ესაია	NOUN	ესაია	
წინაწარმეტყუელისა	NOUN	წინაწარმეტყუელ-	
მიერ	PRT	მიერ	
და	CONJ	და	
იტყჳს:	VERB	ტყუ	სიტყუა
ჴმაჲ	NOUN	ჴმა	
ღაღადებისაჲ	NOUN	ღაღადება	
უდაბნოსა	NOUN	უდაბნო	
ზედა:	PRT	ზედა:	
განჰმზადენით	VERB	მზად	განმზადება
გზანი	NOUN	გზა	
უფლისანი	NOUN	უფალ-	
და	CONJ	და	
წრფელ-ყვენით	VERB	წრფელ-ყოფა	წრფელ-ყოფა
ალაგნი	NOUN	ალაგ-	
მისნი.	PRON	მის-	
Mt.3-4		Mt.3-4	
ხოლო	CONJ	ხოლო	
თავადსა	NOUN	თავად-	
იოვანეს	NOUN	იოვანე	
ემოსა	VERB	მოს	მოსვა
სამოსლად	NOUN	სამოსელ-	
მისა	PRON	მის-	
თმისაგან	NOUN	თმა	
აქლემისა	NOUN	აქლემ-	
და	CONJ	და	
სარტყელი	NOUN	სარტყელ-	
ტყავისაჲ	NOUN	ტყავ-	
წელთა	NOUN	წელ-	
მისთა;	PRON	მის-	
ხოლო	CONJ	ხოლო	
საზრდელად	NOUN	საზრდელ-	
მისა	PRON	მის-	
იყო	VERB	ყოფნა	ყოფა
მკალი	NOUN	მკალ-	
და	CONJ	და	
თაფლი	NOUN	თაფლ-	
ველური.	ADJ	ველურ-	
Mt.3-5		Mt.3-5	
მაშინ	ADV	მაშინ	
განვიდოდეს	VERB	ვიდ	განსლვა
მისა	PRON	იგი	
იერუსალჱმი	NOUN	იერუსალჱმ-	
და	CONJ	და	
ყოველი	PRON	ყოველ-	
ჰურიასტანი	NOUN	ჰურიასტან-	
და	CONJ	და	
გარემოსოფლები	NOUN	გარემოსოფელ-	
იორდანისაჲ.	NOUN	იორდანე	
Mt.3-6		Mt.3-6	
და	CONJ	და	
ნათელს-იღებდეს	VERB	ნათელ-ღება	ნათელ-ღება
იორდანესა	NOUN	იორდანე	
შინა	ADV	შინა	
მისგან	PRON	იგი	
და	CONJ	და	
აღუარებდეს	VERB	უარ	აღსაარება
ცოდვათა	NOUN	ცოდვა	
მათთა.	PRON	მათ-	
Mt.3-7		Mt.3-7	
და	CONJ	და	
ვითარცა	CONJ	ვითარცა	
იხილნა	VERB	ხილ	ხილვა
მრავალნი	ADJ	მრავალ-	
ფარისეველნი	NOUN	ფარისეველ-	
და	CONJ	და	
სადუკეველნი,	NOUN	სადუკეველ-	
მომავალნი	NOUN	მომავალ-	
ნათლის-ღებად	NOUN	ნათლის-ღება	
მისგან,	PRON	იგი	
ჰრქუა	VERB	რქუ	რქუმა
მათ:	PRON	მათ:	
ნაშობნო	ADJ	ნაშობ-	
იქედნეთანო,	NOUN	იქედნე	
ვინ	PRON	ვინ	
გიჩუენა	VERB	ჩუენ	ჩუენება
თქუენ	PRON	თქუენ	
სივლტოლაჲ	NOUN	სივლტოლა	
მერმისა	ADV	მერმე	
მისგან	PRON	იგი	
რისხვისა?	NOUN	რისხვა	
Mt.3-8		Mt.3-8	
ყავთ	VERB	ყოფა	ყოფა
უკუე	ADV	უკუე	
ნაყოფი,	NOUN	ნაყოფ-	
ღირსი	ADJ	ღირს-	
სინანულისაჲ,	NOUN	სინანულ-	
Mt.3-9		Mt.3-9	
და	CONJ	და	
ნუ	PRT	ნუ	
ჰგონებთ	VERB	გონ	გონება
და	CONJ	და	
იტყჳთ	VERB	ტყუ	სიტყუა
თავით	PRON	თავ-	
თჳსით:	PRON	თჳს-	
მამაჲ	NOUN	მამა	
გჳვის	VERB	ვ	ვ
ჩუენ	PRON	ჩუენ	
აბრაჰამი.	NOUN	აბრაჰამ-	
რამეთუ	CONJ	რამეთუ	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ,	PRON	თქუენ,	
ვითარმედ	CONJ	ვითარმედ	
შემძლებელ	NOUN	შემძლებელ-	
არს	VERB	არ-ს	ყოფა
ღმერთი	NOUN	ღმერთ-	
აღდგინებად	NOUN	აღდგინება	
ქვათა	NOUN	ქვა	
ამათგან	PRON	ესე	
შვილად	NOUN	შვილ-	
აბრაჰამისა.	NOUN	აბრაჰამ-	
Mt.3-10		Mt.3-10	
რამეთუ	CONJ	რამეთუ	
აწვე,	ADV	აწვე,	
ესერა,	PRT	ესერა,	
ცული	NOUN	ცულ-	
ძირთა	NOUN	ძირ-	
თანა	PRT	თანა	
ხეთასა	NOUN	ხე	
ძეს.	VERB	ძ	ძე
ყოველმან	PRON	ყოველ-	
ხემან,	NOUN	ხე	
რომელმან	PRON	რომელ-	
არა	PRT	არა	
გამოიღოს	VERB	ღო	გამოღება
ნაყოფი	NOUN	ნაყოფ-	
კეთილი,	ADJ	კეთილ-	
მოეკუეთოს	VERB	კუეთ	მოკუეთა
და	CONJ	და	
ცეცხლსა	NOUN	ცეცხლ-	
დაედვას.	VERB	დ	დადება
Mt.3-11		Mt.3-11	
მე	PRON	მე	
უკუე	PRT	უკუე	
ნათელ-გცემ	VERB	ნათელ-ცემა	ნათელ-ცემა
თქუენ	PRON	თქუენ	
წყლითა	NOUN	წყალ-	
სინანულად.	NOUN	სინანულ-	
ხოლო	CONJ	ხოლო	
რომელი	PRON	რომელ-	
შემდგომად	NOUN	შემდგომ-	
ჩემსა	PRON	მე	
მოვალს,	VERB	ვალ	მოსლვა
უძლიერეს	NOUN	უძლიერეს-	
ჩემსა	PRON	მე	
არს,	VERB	არ-ს	ყოფა
რომლისა	CONJ	რომელ-	
ვერ	PRT	ვერ	
შემძლებელ	NOUN	შემძლებელ-	
ვარ	VERB	ვარ	ყოფა
ჴამლთა	NOUN	ჴამლ-	
მისთა	PRON	მის-	
ტჳრთვად.	NOUN	ტჳრთვა	
მან	PRO	იგი	
ნათელ-გცეს	VERB	ნათელ-ცემა	ნათელ-ცემა
თქუენ	PRON	თქუენ	
სულითა	NOUN	სულ-	
წმიდითა	ADJ	წმიდა	
და	CONJ	და	
ცეცხლითა.	NOUN	ცეცხლ-	
Mt.3-12		Mt.3-12	
რომლისა	PRON	რომელ-	
ნიჩაბი	NOUN	ნიჩაბ-	
ჴელთა	NOUN	ჴელ-	
მისთა,	PRON	მის-	
განწმიდოს	VERB	წმიდ	განწმედა
კალოჲ	NOUN	კალო	
თჳსი	PRON	თჳს-	
და	CONJ	და	
შეკრიბოს	VERB	კრიბ	შეკრება
იფქლი	NOUN	იფქლ-	
საუნჯესა,	NOUN	საუნჯე	
ხოლო	CONJ	ხოლო	
ბზე	NOUN	ბზე	
დაწუას	VERB	წუ	დაწუა
ცეცხლითა	NOUN	ცეცხლ-	
მით	PRON	იგი	
უშრეტითა.	ADJ	უშრეტ-	
Mt.3-13		Mt.3-13	
მაშინ	ADV	მაშინ	
მოვიდა	VERB	ვიდ	მოსლვა
იესუ	NOUN	იესუ	
გალილეაჲთ	NOUN	გალილეა	
იორდანედ	NOUN	იორდანე	
იოვანესა	NOUN	იოვანე	
ნათლის-ღებად	NOUN	ნათლის-ღება	
მისგან.	PRON	იგი	
Mt.3-14		Mt.3-14	
ხოლო	CONJ	ხოლო	
იოვანე	NOUN	იოვანე	
აყენებდა	VERB	ყენ	აყენება
მას	PRON	იგი	
და	CONJ	და	
ეტყოდა:	VERB	ტყუ	სიტყუა
მე	PRON	მე	
მიჴმს	VERB	ჴმ	ჴმობა
შენ	PRON	შენ	
მიერ	PRT	მიერ	
ნათლის-ღებაჲ,	NOUN	ნათლის-ღება	
და	CONJ	და	
შენ	PRON	შენ	
ჩემდა	PRON	ჩემ	
მოხუალა?	VERB	ვალ	მოსლვა
Mt.3-15		Mt.3-15	
მიუგო	VERB	გ	მიგება
იესუ	NOUN	იესუ	
და	CONJ	და	
ჰრქუა	VERB	რქუ	რქუმა
მას:	PRON	იგი	
აცადე	VERB	ცად	ცდა
აწ,	ADV	აწ,	
რამეთუ	CONJ	რამეთუ	
ესრეთ	ADV	ესრეთ	
შუენის	VERB	შუენ	შუენება
ჩუენდა	PRON	ჩუენ	
აღსრულებად	NOUN	აღსრულება	
ყოველი	PRON	ყოველ-	
სიმართლე.	NOUN	სიმართლე.	
მაშინ	ADV	მაშინ	
მიუშუა	VERB	შუ	მიშუება
მას.	PRON	იგი	
Mt.3-16		Mt.3-16	
და	CONJ	და	
ნათელ-იღო	VERB	ნათელ-ღება	ნათელ-ღება
იესუ.	NOUN	იესუ.	
და	CONJ	და	
მეყსეულად	ADV	მეყსეულად	
აღმოვიდა	VERB	ვიდ	აღმოსლვა
რაჲ	PRON	რა	
წყლისა	NOUN	წყალ-	
მისგან,	PRON	იგი	
და,	CONJ	და,	
აჰა,	PRT	აჰა,	
განეხუნეს	VERB	ხუნ	განხუმა
მას	PRON	იგი	
ცანი,	NOUN	ცა	
და	CONJ	და	
იხილა	VERB	ხილ	ხილვა
სული	NOUN	სულ-	
ღმრთისაჲ,	NOUN	ღმერთ-	
გარდამომავალი,	ADJ	გარდამომავალ-	
ვითარცა	CONJ	ვითარცა	
ტრედი,	NOUN	ტრედ-	
მოვიდა	VERB	ვიდ	მოსლვა
და	CONJ	და	
დაადგრა	VERB	დგერ	დადგრომა
მას	PRON	იგი	
ზედა.	PRT	ზედა.	
Mt.3-17		Mt.3-17	
და	CONJ	და	
ჴმაჲ	NOUN	ჴმა	
იყო	VERB	ყოფნა	ყოფა
ზეცით	NOUN	ზეცა	
და	CONJ	და	
თქუა:	VERB	თქუ	თქუმა
ესე	PRON	ესე	
არს	VERB	არ-ს	ყოფა
ძე	NOUN	ძე	
ჩემი	PRON	ჩემ-	
საყუარელი,	ADJ	საყუარელ-	
რომელი	PRON	რომელ-	
მე	PRON	მე	
სათნო-ვიყავ.	VERB	სათნო-ყოფა	სათნო-ყოფა
Mt.4-1		Mt.4-1	
მაშინ	ADV	მაშინ	
იესუ	NOUN	იესუ	
აღმოიყვანა	VERB	ყვან	აღმოყვანა
უდაბნოდ	NOUN	უდაბნო	
სულისაგან	NOUN	სულ-	
გამოცდად	NOUN	გამოცდა	
ეშმაკისაგან.	NOUN	ეშმაკ-	
Mt.4-2		Mt.4-2	
და	CONJ	და	
იმარხა	VERB	მარხ	მარხვა
ორმეოცი	NUM	ორმეოც-	
დღე	NOUN	დღე	
და	CONJ	და	
ორმეოცი	NUM	ორმეოც-	
ღამე,	NOUN	ღამე,	
და	CONJ	და	
მერმე	ADV	მერმე	
